State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
Andhra Pradesh,2022,3,Utility,89069693,66745271537.235
Andhra Pradesh,2022,4,P2P,470505491,1667439499794.4644
Andhra Pradesh,2022,4,Utility,91912723,70137776041.61502
Andhra Pradesh,2022,4,Retail,468020065,291089183587.983
Andhra Pradesh,2023,1,P2P,515228601,1858594515192.1406
Andhra Pradesh,2023,1,Retail,526737073,316722904887.86694
Andhra Pradesh,2023,1,Utility,96759239,76489974934.73862
Andhra Pradesh,2023,2,Retail,613447829,347884097452.54254
Andhra Pradesh,2023,2,Utility,107815790,93701377087.34503
Andhra Pradesh,2023,2,P2P,573773696,2068118513732.0432
Andhra Pradesh,2023,3,P2P,623522468,2164307097889.6428
Andhra Pradesh,2023,3,Retail,730559498,387467306729.4782
Andhra Pradesh,2023,3,Utility,113563012,102786014632.14882
Andhra Pradesh,2023,4,P2P,673686762,2272745802538.289
Andhra Pradesh,2023,4,Retail,800499764,425607560852.9048
Andhra Pradesh,2023,4,Utility,114111280,113501661927.53525
Andhra Pradesh,2024,1,P2P,722183330,2437655805202.796
Andhra Pradesh,2024,1,Retail,907194749,464366453697.3639
Andhra Pradesh,2024,1,Utility,120349511,116483628212.71187
Andhra Pradesh,2024,2,Retail,1043588059,506844392506.85077
Andhra Pradesh,2024,2,Utility,128360994,132848399657.3906
Andhra Pradesh,2024,2,P2P,748936609,2545981192981.997
Andhra Pradesh,2024,3,P2P,803007628,2555374646257.539
Andhra Pradesh,2024,3,Retail,1154960340,530220311285.228
Andhra Pradesh,2024,3,Utility,128090297,141912176587.07898
Andhra Pradesh,2024,4,P2P,872939105,2723642149366.8696
Andhra Pradesh,2024,4,Retail,1284541504,576586512076.162
Andhra Pradesh,2024,4,Utility,135289441,154307909609.36945
Andhra Pradesh,2025,1,P2P,926759367,2900427019839.6875
Andhra Pradesh,2025,1,Retail,1349213113,595084392377.1418
Andhra Pradesh,2025,1,Utility,146913770,171284311055.59003
Andhra Pradesh,2025,2,P2P,935539501,2961548468456.4717
Andhra Pradesh,2025,2,Retail,1445602514,635118418801.311
Andhra Pradesh,2025,2,Utility,149776958,184854052313.8567
Andhra Pradesh,2025,3,P2P,979073292,2943072244565.38
Andhra Pradesh,2025,3,Retail,1575163628,672188566378.8623
Andhra Pradesh,2025,3,Utility,146091968,199434737399.4018
Andhra Pradesh,2025,4,P2P,1018086782,3057714960314.354
Andhra Pradesh,2025,4,Utility,147848451,215010757178.62662
Andhra Pradesh,2025,4,Retail,1696774348,727380609254.9849
Andhra Pradesh,2026,1,P2P,1077713980,3312089285888.966
Andhra Pradesh,2026,1,Retail,1812911085,794181428195.733
Andhra Pradesh,2026,1,Utility,156804770,243452858928.82135
Andhra Pradesh,2026,2,Retail,1978617733,874378874522.2871
Andhra Pradesh,2026,2,Utility,157632055,256026172035.94608
Andhra Pradesh,2026,2,P2P,1109707075,3493292328363.7217
Arunachal Pradesh,2018,1,P2P,15540,100106050.69601512
Arunachal Pradesh,2018,1,Retail,40846,11630869.088574527
Arunachal Pradesh,2018,1,Utility,186,272787.0378895986
Arunachal Pradesh,2018,2,P2P,30899,218040979.1398114
Arunachal Pradesh,2018,2,Retail,69003,19985066.895706624
Arunachal Pradesh,2018,2,Utility,956,1567961.4136905838
Arunachal Pradesh,2018,3,P2P,56490,361106876.33230317
Arunachal Pradesh,2018,3,Retail,102215,26397492.274637625
Arunachal Pradesh,2018,3,Utility,1622,2844669.26291852
Arunachal Pradesh,2018,4,P2P,78292,551863399.6052133
Arunachal Pradesh,2018,4,Utility,2197,3478084.732753476
Arunachal Pradesh,2018,4,Retail,141727,41934985.285773486
Arunachal Pradesh,2019,1,P2P,114051,708843415.3802242
Arunachal Pradesh,2019,1,Retail,175799,49391943.52019468
Arunachal Pradesh,2019,1,Utility,3373,4699030.382277647
Arunachal Pradesh,2019,2,P2P,148005,998209237.5753416
Arunachal Pradesh,2019,2,Retail,235969,66008443.11777704
Arunachal Pradesh,2019,2,Utility,3321,6188570.690542959
Arunachal Pradesh,2019,3,P2P,187127,1203419109.9408553
Arunachal Pradesh,2019,3,Retail,246085,72061415.66220428
Arunachal Pradesh,2019,3,Utility,22910,15130587.328627035
Arunachal Pradesh,2019,4,P2P,248720,1554181904.0581872
Arunachal Pradesh,2019,4,Retail,245850,79834932.27963962
Arunachal Pradesh,2019,4,Utility,76238,30804511.924135324
Arunachal Pradesh,2020,1,P2P,282980,1786974149.528533
Arunachal Pradesh,2020,1,Retail,284879,97457640.07224388
Arunachal Pradesh,2020,1,Utility,128283,44137365.43131894
Arunachal Pradesh,2020,2,P2P,340273,2245390326.2109804
Arunachal Pradesh,2020,2,Retail,407472,167727755.10215804
Arunachal Pradesh,2020,2,Utility,224384,66624271.34761126
Arunachal Pradesh,2020,3,P2P,475422,3044427398.1248016
Arunachal Pradesh,2020,3,Retail,466194,230744818.11669534
Arunachal Pradesh,2020,3,Utility,218466,70883405.66356106
Arunachal Pradesh,2020,4,P2P,611037,3823892537.391588
Arunachal Pradesh,2020,4,Utility,284318,90579221.72315848
Arunachal Pradesh,2020,4,Retail,498430,281510022.088138
Arunachal Pradesh,2021,1,P2P,717820,4364283927.578818
Arunachal Pradesh,2021,1,Retail,268630,319859004.86536753
Arunachal Pradesh,2021,1,Utility,525290,140842728.88697693
Arunachal Pradesh,2021,2,Retail,357066,430913945.8937972
Arunachal Pradesh,2021,2,Utility,749967,183942756.50788608
Arunachal Pradesh,2021,2,P2P,1019755,5259428892.438826
Arunachal Pradesh,2021,3,P2P,1295459,6496888203.9589
Arunachal Pradesh,2021,3,Retail,445416,644112068.0788856
Arunachal Pradesh,2021,3,Utility,812004,217989579.11850983
Arunachal Pradesh,2021,4,P2P,1394700,6688484212.847013
Arunachal Pradesh,2021,4,Retail,624665,848090592.3919425
Arunachal Pradesh,2021,4,Utility,761738,228961578.25079614
Arunachal Pradesh,2022,1,P2P,1814764,8431570479.502369
Arunachal Pradesh,2022,1,Retail,974159,1213984321.5428307
Arunachal Pradesh,2022,1,Utility,854235,270295885.44847566
Arunachal Pradesh,2022,2,P2P,2362702,10064354020.649572
Arunachal Pradesh,2022,2,Retail,1560097,1719362758.949329
Arunachal Pradesh,2022,2,Utility,982108,311415622.4648111
Arunachal Pradesh,2022,3,P2P,3089113,11109403462.223898
Arunachal Pradesh,2022,3,Retail,2127733,2179521270.9681797
Arunachal Pradesh,2022,3,Utility,1108609,347472060.0928934
Arunachal Pradesh,2022,4,P2P,3542488,11777534655.814371
Arunachal Pradesh,2022,4,Utility,1178436,374731406.2153811
Arunachal Pradesh,2022,4,Retail,2753357,2545372063.9158983
Arunachal Pradesh,2023,1,P2P,3962069,13437468713.054745
