State,Year,Quarter,Entity_Type,Entity_Name,Transaction_Count,Transaction_Amount
Andhra Pradesh,2021,2,Districts,visakhapatnam district,48454823,93661440479.54752
Andhra Pradesh,2021,2,Districts,tirupati district,30980505,63832011586.41158
Andhra Pradesh,2021,2,Districts,ntr district,29689187,68711845996.012794
Andhra Pradesh,2021,2,Districts,guntur district,24747647,56745278416.56762
Andhra Pradesh,2021,2,Districts,sri potti sriramulu nellore district,24530930,60658664269.386734
Andhra Pradesh,2021,2,Districts,ananthapuramu district,21057300,52614323762.10713
Andhra Pradesh,2021,2,Districts,kakinada district,19741064,43103609162.51383
Andhra Pradesh,2021,2,Districts,prakasam district,19250933,52241986746.93471
Andhra Pradesh,2021,2,Districts,ysr kadapa district,18439325,52701239792.05085
Andhra Pradesh,2021,2,Districts,kurnool district,16410073,39828053285.24623
Andhra Pradesh,2021,3,Districts,visakhapatnam district,63039715,114846729915.38611
Andhra Pradesh,2021,3,Districts,tirupati district,38846695,76372796604.25818
Andhra Pradesh,2021,3,Districts,ntr district,38458766,82914084937.16779
Andhra Pradesh,2021,3,Districts,guntur district,32106421,67967765276.3768
Andhra Pradesh,2021,3,Districts,sri potti sriramulu nellore district,30057781,70491572605.5676
Andhra Pradesh,2021,3,Districts,ananthapuramu district,25568844,59570939793.666016
Andhra Pradesh,2021,3,Districts,kakinada district,24195152,49877584621.359566
Andhra Pradesh,2021,3,Districts,prakasam district,22974745,59017780181.23851
Andhra Pradesh,2021,3,Districts,ysr kadapa district,22072562,59425093738.99568
Andhra Pradesh,2021,3,Districts,east godavari district,20457292,47156807396.80225
Andhra Pradesh,2021,4,Districts,visakhapatnam district,66906832,117942388185.7269
Andhra Pradesh,2021,4,Districts,ntr district,41842381,87719263417.47876
Andhra Pradesh,2021,4,Districts,tirupati district,40076285,76003068458.86293
Andhra Pradesh,2021,4,Districts,guntur district,34544771,71421784249.87703
Andhra Pradesh,2021,4,Districts,sri potti sriramulu nellore district,30117139,68243895293.82597
Andhra Pradesh,2021,4,Districts,ananthapuramu district,26364698,58941460393.5852
Andhra Pradesh,2021,4,Districts,kakinada district,25694303,51098124936.969376
Andhra Pradesh,2021,4,Districts,prakasam district,22731436,56393976436.550865
Andhra Pradesh,2021,4,Districts,ysr kadapa district,22458765,58351595500.65454
Andhra Pradesh,2021,4,Districts,east godavari district,21899548,48689977216.3878
Andhra Pradesh,2022,1,Districts,visakhapatnam district,81109511,142476903570.3141
Andhra Pradesh,2022,1,Districts,ntr district,52027287,108436242350.05853
Andhra Pradesh,2022,1,Districts,tirupati district,51842696,97965274916.58827
Andhra Pradesh,2022,1,Districts,guntur district,43199918,88359385967.19525
Andhra Pradesh,2022,1,Districts,sri potti sriramulu nellore district,38330221,85995884065.9117
Andhra Pradesh,2022,1,Districts,ananthapuramu district,33168908,73331469216.90086
Andhra Pradesh,2022,1,Districts,kakinada district,32037788,64781718092.06582
Andhra Pradesh,2022,1,Districts,prakasam district,28917667,71300830769.78606
Andhra Pradesh,2022,1,Districts,ysr kadapa district,28481338,74308376107.01198
Andhra Pradesh,2022,1,Districts,east godavari district,27335566,61166335807.690704
Andhra Pradesh,2022,2,Districts,visakhapatnam district,93926790,162113743096.3637
Andhra Pradesh,2022,2,Districts,ntr district,61548989,126917983114.01266
Andhra Pradesh,2022,2,Districts,tirupati district,60039785,113167623526.93497
Andhra Pradesh,2022,2,Districts,guntur district,50903979,101987962302.62213
Andhra Pradesh,2022,2,Districts,sri potti sriramulu nellore district,44027676,100705583147.23178
Andhra Pradesh,2022,2,Districts,ananthapuramu district,37745097,82760963881.1185
Andhra Pradesh,2022,2,Districts,kakinada district,37470828,74450057144.3125
Andhra Pradesh,2022,2,Districts,prakasam district,33525083,81323792753.56427
Andhra Pradesh,2022,2,Districts,ysr kadapa district,31952976,83154944821.2744
Andhra Pradesh,2022,2,Districts,east godavari district,31897031,69959592313.04672
Andhra Pradesh,2022,3,Districts,visakhapatnam district,107714630,181438551178.04443
Andhra Pradesh,2022,3,Districts,ntr district,70833077,140689076094.80417
Andhra Pradesh,2022,3,Districts,tirupati district,68885179,126882839966.29102
Andhra Pradesh,2022,3,Districts,guntur district,58325107,115011319893.50443
Andhra Pradesh,2022,3,Districts,sri potti sriramulu nellore district,50534408,111428938566.94356
Andhra Pradesh,2022,3,Districts,ananthapuramu district,43285476,91301145442.92174
Andhra Pradesh,2022,3,Districts,kakinada district,42364852,80803582585.41235
Andhra Pradesh,2022,3,Districts,prakasam district,38203795,90136205869.5387
Andhra Pradesh,2022,3,Districts,ysr kadapa district,36875702,92319945099.46086
Andhra Pradesh,2022,3,Districts,east godavari district,36682313,77033177470.81262
Andhra Pradesh,2022,4,Districts,visakhapatnam district,115165923,186979609546.14783
Andhra Pradesh,2022,4,Districts,ntr district,77334285,147565996343.2663
Andhra Pradesh,2022,4,Districts,tirupati district,73372606,129232053443.99687
Andhra Pradesh,2022,4,Districts,guntur district,63465288,120368636712.59644
Andhra Pradesh,2022,4,Districts,sri potti sriramulu nellore district,52452186,110924537358.51736
Andhra Pradesh,2022,4,Districts,kakinada district,46494159,84883965091.4924
Andhra Pradesh,2022,4,Districts,ananthapuramu district,46114169,94150942959.23897
Andhra Pradesh,2022,4,Districts,east godavari district,40449813,81407131208.99396
Andhra Pradesh,2022,4,Districts,prakasam district,39772884,89993054982.78363
Andhra Pradesh,2022,4,Districts,ysr kadapa district,39476958,94867772667.8349
Andhra Pradesh,2023,1,Districts,visakhapatnam district,124278749,203615260378.23044
Andhra Pradesh,2023,1,Districts,ntr district,84119568,160644703645.09476
Andhra Pradesh,2023,1,Districts,tirupati district,81849394,142242483954.18967
Andhra Pradesh,2023,1,Districts,guntur district,69143035,131114379828.48578
Andhra Pradesh,2023,1,Districts,sri potti sriramulu nellore district,58408964,122257559405.38036
Andhra Pradesh,2023,1,Districts,kakinada district,51312184,95201655964.75813
Andhra Pradesh,2023,1,Districts,ananthapuramu district,50713530,102190116511.60172
Andhra Pradesh,2023,1,Districts,prakasam district,44647293,100005184317.5284
Andhra Pradesh,2023,1,Districts,east godavari district,44570126,90327650213.64429
Andhra Pradesh,2023,1,Districts,ysr kadapa district,43691505,104770838729.04608
Andhra Pradesh,2023,2,Districts,visakhapatnam district,139827288,223673205713.29523
Andhra Pradesh,2023,2,Districts,ntr district,96758533,179979341715.94965
Andhra Pradesh,2023,2,Districts,tirupati district,92593052,159258923285.246
Andhra Pradesh,2023,2,Districts,guntur district,79429843,147355299114.98862
Andhra Pradesh,2023,2,Districts,sri potti sriramulu nellore district,67096855,140842557979.87006
Andhra Pradesh,2023,2,Districts,kakinada district,57988086,104689321127.95361
Andhra Pradesh,2023,2,Districts,ananthapuramu district,56759923,113545877426.63347
Andhra Pradesh,2023,2,Districts,prakasam district,51202929,111078603348.61734
Andhra Pradesh,2023,2,Districts,east godavari district,51141450,100026354756.84354
Andhra Pradesh,2023,2,Districts,eluru district,49086201,98103223277.21495
Andhra Pradesh,2023,3,Districts,visakhapatnam district,159437793,242548984701.8773
Andhra Pradesh,2023,3,Districts,ntr district,109897358,190679112876.84717
Andhra Pradesh,2023,3,Districts,tirupati district,106117476,173195124711.59552
Andhra Pradesh,2023,3,Districts,guntur district,91207290,158979638160.98483
Andhra Pradesh,2023,3,Districts,sri potti sriramulu nellore district,76928501,150184710577.61642
Andhra Pradesh,2023,3,Districts,kakinada district,65785990,111489606774.56703
Andhra Pradesh,2023,3,Districts,ananthapuramu district,65327732,121649778854.6745
Andhra Pradesh,2023,3,Districts,prakasam district,59162933,120542339040.17557
Andhra Pradesh,2023,3,Districts,east godavari district,58325311,106228328898.52751
Andhra Pradesh,2023,3,Districts,ysr kadapa district,55549825,124389073539.05724
Andhra Pradesh,2023,4,Districts,visakhapatnam district,167724123,253905771533.5429
Andhra Pradesh,2023,4,Districts,ntr district,118127215,202334443098.87805
Andhra Pradesh,2023,4,Districts,tirupati district,111396042,177777194396.5028
Andhra Pradesh,2023,4,Districts,guntur district,97298223,165365386449.24207
Andhra Pradesh,2023,4,Districts,sri potti sriramulu nellore district,79782668,152712280031.8501
Andhra Pradesh,2023,4,Districts,kakinada district,71398891,120095909090.43564
Andhra Pradesh,2023,4,Districts,ananthapuramu district,71005920,128620561694.48538
Andhra Pradesh,2023,4,Districts,east godavari district,63886670,115537912555.1903
Andhra Pradesh,2023,4,Districts,prakasam district,62817426,123321428794.2072
Andhra Pradesh,2023,4,Districts,ysr kadapa district,61528003,132000555582.97052
Andhra Pradesh,2024,1,Districts,visakhapatnam district,175655650,261202855600.91016
Andhra Pradesh,2024,1,Districts,ntr district,124830332,209391394393.48502
Andhra Pradesh,2024,1,Districts,tirupati district,123906950,189823991814.4631
Andhra Pradesh,2024,1,Districts,guntur district,104129208,172366450800.1533
Andhra Pradesh,2024,1,Districts,sri potti sriramulu nellore district,87979993,160459721284.97867
Andhra Pradesh,2024,1,Districts,kakinada district,78780857,130086792680.11761
Andhra Pradesh,2024,1,Districts,ananthapuramu district,77881728,134097495258.8226
Andhra Pradesh,2024,1,Districts,east godavari district,69848775,123320536585.60558
Andhra Pradesh,2024,1,Districts,prakasam district,69776429,131967184429.49567
